Kérdés,Válasz
"Mikor kell feltöltenem a jelentkezést a tanszéki honlapra, ha elfogadták a kérelmemet?","Amennyiben a kérelmedet elfogadják, akkor szükséged lesz a szakmai gyakorlatról szóló megállapodásra. Ezután kell feltöltened a jelentkezést a tanszéki honlapra."
Mikor kell felvennem a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned. Ha viszont a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért időben meg kell szerezned az aláírásodat."
Milyen lehetőségek vannak szakmai gyakorlat elvégzésére a BME VIK-nál?,Sajnos jelenleg nincs lehetőség szakmai gyakorlat elvégzésére a tanszéken belül.
Milyen feltételekkel lehet szakmai gyakorlatot végezni az egyetemi versenycsapatnál?,"Amennyiben a csapat mögött van egy gazdálkodó szervezet, aki munkaszerződésen keresztül foglalkoztatni tud, akkor van lehetőség szakmai gyakorlatot végezni. Ehhez szükséges egy adminisztratív kapcsolattartó nevének és elérhetőségének (e-mail, telefon) valamint a cég nevének megadása."
Miként lehet felvenni a szakmai gyakorlat tárgyat a Neptun rendszerben?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Milyen lehetőségek vannak a BME VIK-nál szakmai gyakorlatra?,"A BME VIK-nál számos lehetőség van szakmai gyakorlatra. Egyik lehetőség a BME Solar Boat team, ahol a gyakorlatot elvégezheted. Emellett más laboratóriumokban és kutatócsoportokban is van lehetőség gyakorlatot végezni."
Mikor lehet elkezdeni a szakmai gyakorlatot?,"A szakmai gyakorlatot általában a nyári időszakban szokás elkezdeni. Az pontos időpontja és a jelentkezési határidő a BME VIK honlapján megtalálható, illetve a gyakorlatot szervező szervezettel lehet egyeztetni."
Milyen adminisztratív kapcsolattartóra van szükség a szakmai gyakorlat során?,"A szakmai gyakorlat során szükség van egy adminisztratív kapcsolattartóra, aki a gyakorlati időszak alatt segíti a kapcsolattartást és a szükséges adminisztratív teendőket. Az elérhetőségeit (e-mail, telefon) általában a gyakorlatot szervező szervezet vagy cég adja meg."
Milyen feltételekkel lehet szakmai gyakorlatot végezni a BME Solar Boat teamnél?,"A BME Solar Boat teamnél való szakmai gyakorlatot azok a hallgatók végezhetik, akik tagjai a csapatnak. Fontos, hogy legyen mögöttük egy gazdálkodó szervezet, aki munkaszerződésen keresztül foglalkoztatni tudja őket. A csapatnál szükség van egy adminisztratív kap"
Milyen téma hiányzik a feltöltött dokumentumok közül?,"A levélben nem szerepel, hogy pontosan milyen téma hiányzik a feltöltött dokumentumok közül. Kérjük, hogy pontosítsd, hogy melyik témára lenne szükség a szakmai gyakorlatodhoz."
Mi a kezdési dátum az idei szakmai gyakorlatnak?,Az idei szakmai gyakorlat kezdési dátuma július 3.
Mikor kezdhetem el a munkát a szakmai gyakorlat alatt?,A szakmai gyakorlat munkáját már a vizsgaidőszak alatt is elkezdheted.
Milyen cégről és iskolaszövetkezetről lenne szó?,"A levélben nem szerepel, hogy pontosan melyik cég és iskolaszövetkezet lenne érintett a szakmai gyakorlatodban. Kérjük, hogy pontosítsd, melyik cégről és iskolaszövetkezetről van szó."
Milyen papirokra van szükségem az iskolaszövetkezet részéről?,Az iskolaszövetkezet részéről a szerződés bemutatása elegendő.
Mire vonatkozik az AUT portálon található Teendők - Szakmai gyakorlat leírás?,"Az AUT portálon található Teendők - Szakmai gyakorlat leírás az egyetem és a cég közötti egyeztetésről szól, azaz arról, hogy az egyetem egyeztet a kiírandó témákról a céggel."
Mikor kezdhetem el a BME VIK szakmai gyakorlatomat?,"A szakmai gyakorlatot már a vizsgaidőszak alatt is elkezdheted, de az idei hivatalos kezdési dátum július 3.."
Melyik cégről vagy iskolaszövetkezetről van szó a BME VIK szakmai gyakorlat során?,"Nem tudjuk megmondani, melyik cégről vagy iskolaszövetkezetről van szó, mert az emailben nincs megadva konkrét név vagy információ."
"Milyen papirokra van szükségem, ha az iskolaszövetkezeten keresztül végzem a BME VIK szakmai gyakorlatot?","Az emailben nem szerepel, hogy milyen papirokra van szükség az iskolaszövetkezet részéről. Azonban azt említik, hogy a szerződést be kell mutatni."
Milyen határidők vannak az idei BME VIK szakmai gyakorlat során?,"Az emailben említik, hogy a késői félévkezdés miatt szűkösen van idő a 8 hetes szakmai gyakorlat elvégzésére. Azonban konkrét határidőket nem találunk az emailben."
Milyen határidővel kell leadni a gyakorlat dokumentációját?,"A gyakorlat dokumentációját a gyakorlati időszak végét követő két héten belül kell leadni. Fontos, hogy időben elkezdjük a dokumentáció elkészítését, hogy ne legyen probléma a határidő betartásával."
Mikor lehet jelentkezni a szakmai gyakorlatra?,"A szakmai gyakorlatra a tavaszi és az őszi félévben lehet jelentkezni. A jelentkezési időszakokat a tanszék hirdeti ki a Neptun rendszeren keresztül. Fontos, hogy figyeljünk ezekre az időszakokra, hogy időben tudjunk jelentkezni."
Milyen óraszámot kell teljesíteni a gyakorlat során?,"A gyakorlat során legalább 320 órát kell teljesíteni. Fontos, hogy naplózzuk a munkaidőnket, hogy igazolni tudjuk a teljesített órákat. Ha az órák száma nem teljesül, akkor nem kapunk elégséges érdemjegyet a gyakorlatból."
Hogyan kell feltölteni a szakmai gyakorlat feladatlapját?,A feladatlapot legkésőbb a gyakorlat megkezdését megelőző hét első munkanapjáig kell feltölteni a GYIK rendszerébe.
Milyen határidővel kell leadni a szakmai gyakorlat feladatlapját?,A feladatlapot legkésőbb a gyakorlat megkezdését megelőző hét első munkanapjáig kell feltölteni.
Mennyi idővel a gyakorlat megkezdése előtt kell feltölteni a feladatlapot?,A feladatlapot legkésőbb a gyakorlat megkezdését megelőző hét első munkanapjáig kell feltölteni.
"Van lehetőség a gyakorlat megkezdésére más nap, mint hétfő?","Igen, a gyakorlatot a feladatlap feltöltését követő hétfőtől egy hétre lehet megkezdeni."
Mikor lehet kezdeni a BME VIK szakmai gyakorlatot?,"A szakmai gyakorlatot bármikor lehet kezdeni, de fontos figyelembe venni, hogy a szorgalmi időszakban maximum heti 20 órát lehet elfogadtatni gyakorlatnak."
Lehet-e szünetet tartani a BME VIK szakmai gyakorlat közben?,"Igen, lehet szünetet tartani a szakmai gyakorlat során. Az időpontokat és a hosszát a gyakorlati helyszínnel kell egyeztetni."
Megengedett-e a BME VIK szakmai gyakorlatot részletekben elvégezni?,"Igen, lehetséges a szakmai gyakorlatot részletekben elvégezni. Fontos azonban betartani a gyakorlati időszak hosszát és a heti maximális óraszámot."
Lehet-e a BME VIK szakmai gyakorlatot végezni a szorgalmi időszakban?,"Igen, lehetséges a szakmai gyakorlatot a szorgalmi időszakban is végezni, de maximum heti 20 órát lehet elfogadtatni gyakorlatnak."
Milyen időszakokban lehet a BME VIK szakmai gyakorlatot végezni?,"A szakmai gyakorlatot bármikor lehet végezni, de fontos figyelembe venni a szorgalmi időszakban és a gyakorlati helyszín által meghatározott időpontokat."
Milyen szervezetet kell bevonni a szakmai gyakorlat dokumentációjába?,Az Alnarius-t kell feltüntetni a szakmai gyakorlat dokumentációban.
Milyen papírokat kell aláíratni az iskolaszövetkezettel?,Nem kell semmilyen papírt aláíratni az iskolaszövetkezettel a szakmai gyakorlat kapcsán.
Melyik mellékletet kell leadni a gyakorlat megkezdése előtt?,Csak a szabályzat 4. számú mellékletét kell leadni a gyakorlat megkezdése előtt.
Mikor érdemes aláírni a megállapodást a BME VIK szakmai gyakorlattal kapcsolatban?,"A megállapodást érdemes akkor aláírni, amikor már végleges a hallgatók listája és minden fontos információ rendelkezésre áll."
Mire van szükség a BME VIK szakmai gyakorlat megállapodásához?,"A megállapodáshoz szükségesek az adószám, az azonosítószámok és egyéb fontos információk. Ha valami hiányzik, akkor azt később is elküldheted."
Kinek kell elküldeni a megállapodást a BME VIK szakmai gyakorlatával kapcsolatban?,"A megállapodást az illetékes kapcsolattartónak kell elküldeni, aki a külső gyakorlóhely vezetője lehet."
Hogyan kell kitölteni a megállapodást a BME VIK szakmai gyakorlatához?,"A megállapodást ki kell tölteni, majd visszaküldeni az illetékes kapcsolattartónak. A pontos kitöltési útmutatót érdemes a kapcsolattartótól kérni."
"Milyen cégnél lehet szakmai gyakorlatot végezni, amely nincs szerződésben a karral?","Amennyiben olyan cégnél szeretnél gyakorlatot végezni, amely nem szerepel a kari listán, akkor egy együttműködési megállapodást kell kötnöd a cég és a kar között. Ezt a kérelmet kinek kell elküldened, vagy hova kell feltöltened, azt legjobb, ha közvetlenül Blázovics Lászlónak írod a megadott email címre."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned a Neptunban. Ha viszont a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Milyen szabályok vonatkoznak a szakmai gyakorlatra a BME VIK-nél?,"A szakmai gyakorlatra vonatkozó szabályokat részletesen megtalálhatod a BME VIK honlapján, a Szakmai Gyakorlat menüpontban. Ott találhatod meg a szükséges dokumentumokat, információkat a jelentkezésről és a gyakorlat időtartamáról, valamint az elvárásokról és a beszámolók készít"
"Megtörtént a CodeVision és a 4D Soft összeolvadása?"" "," ""Igen, a CodeVision Kft. a 4D Soft-ba olvadt át."
"Meg kell változtatni az együttműködési szerződést a CodeVision és a 4D Soft között?"" "," ""Nem, az érvényben lévő együttműködési szerződés továbbra is érvényes, nem szükséges új szerződést kötni."
"Mikor kell kiválasztani a CodeVision-t a portálon?"" "," ""A jelenlegi nyilvántartás átalakítás alatt van, ezért a CodeVision-t válaszd ki a portálon."
Milyen szempontok szerint számítják be az előző félévben elvégzett munkaórákat a szakmai gyakorlat során?,"Az előző félévben elvégzett munkaórákat be lehet számítani a 320 órás követelménybe, ha azokat az Abesse Informatikai tanácsadó Zrt. cégnél végezted és rendelkeznek azokról dokumentációval, amit igazolni tudnak."
"Hogyan kell eljárni, ha a céget nem találom a szakmai gyakorlat témák között, de van keretmegállapodás a karral?","Amennyiben nem találod a céget a témák között, de van keretmegállapodás a BME VIK-val, akkor te magadnak kell felvenned a témát a tanszéki portálon. Ehhez szükséged lesz a cég adataira és a témád leírására."
"Milyen teendőm van, ha a diákszövetkezeten keresztül dolgozom, de nincs megállapodás a karral?","Amennyiben a OneJob Iskolaszövetkezeten keresztül dolgozol, és nincs megállapodás a BME VIK-val, akkor szükséges keretmegállapodást kötni az iskolaszövetkezettel is. Ehhez szükséges a megfelelő elérhetőségek megadása és elküldése Dr. Blázovics Lászlónak, aki elküldi a tervezetet a szükséges feleknek."
Milyen szoftvert ajánl a BME VIK hallgatóknak a gyakorlati időszak nyilvántartásához?,"Amennyiben az AUT-os portálról van szó, akkor a Codevision-t ajánljuk a hallgatóknak. A nyilvántartás ezen része jelenleg nincs felkészítve arra, ha egy céget átneveznek, de dolgoznak rajta, és a hallgatóknak nem lesz problémája ebből adódóan."
Mikor kapja meg a hallgató a gyakorlati időszak alatt szerzett tapasztalatokért járó kreditpontokat?,"A kreditpontok kiadása a gyakorlati időszak végén történik, amikor a hallgató benyújtja a gyakorlati beszámolóját és a munkáltató által aláírt igazolást a BME VIK gyakorlati koordinátorának."
Milyen adminisztrációs feladatokkal jár a cég átnevezése a gyakorlati időszak során?,"Amennyiben a cég jogutódja a 4D Soft Kft., abban az esetben a korábban megkötött keretmegállapodás érvényben marad. Nincs szükség új szerződés kötésére vagy módosítására."
Milyen módon lehet jelentkezni a gyakorlati időszakra?,"A jelentkezést általában az intézmény honlapján található jelentkezési űrlap kitöltésével lehet elvégezni. Fontos, hogy minden szükséges információt pontosan és teljesen adj meg a jelentkezés során."
Milyen dokumentumot kaptak a Csillagászati Intézetben a BME/VIK szakmai gyakorlat kapcsán?,A Csillagászati Intézet a gyakorlati helyekkel kapcsolatos információkat egy *.pdf formátumú dokumentumban kapták.
Milyen lépéseket kell tenni a megállapodás kitöltése után a Csillagászati Intézetben?,A megállapodás kitöltése után a Csillagászati Intézetben a titkárságon keresztül kell elküldeni a dokumentumot Szabó Róbert igazgató és/vagy Kiss László főigazgató részére.
Milyen személyeknek kell elküldeni a megállapodás kitöltött példányát a Csillagászati Intézetben?,A megállapodás kitöltött példányát a Csillagászati Intézetben a titkárságon keresztül kell elküldeni Szabó Róbert igazgató és/vagy Kiss László főigazgató részére.
Mi a következő lépés a megállapodás elküldése után a Csillagászati Intézetben?,"Miután a megállapodás kitöltött példányát elküldték, a következő lépés a visszaküldött aláírt példányok átvétele és az Önök példányának visszaküldése."
Mely cégekkel köt keretmegállapodást a BME VIK a szakmai gyakorlat kapcsán?,"A BME VIK minden esetben keretmegállapodást köt a cégekkel a szakmai gyakorlat során. Sem az iskolaszövetkezettel, sem a Grahisoft-tal nem lesz probléma."
Melyik személy a felelős az IIT szakmai gyakorlatért?,Az IIT szakmai gyakorlat felelőse Kertész Zsolt. Ő rajta van a levelezésen.
Hogy adminisztrálhatom a szakmai gyakorlatomat az IIT oldalán?,"Ha az IIT az anyatanszéked, akkor ott kell adminisztrálnod a szakmai gyakorlatodat."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"A szakmai gyakorlat tárgyat a következő őszi félévben kell felvenni, amennyiben a gyakorlatot a nyári időszakban végzed. Abban az esetben, ha a szakmai gyakorlatot félév közben végzed, ugyanabban a félévben kell felvenni a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele."
Hogyan kell adminisztrálni a szakmai gyakorlatot az IIT-nél?,"Amennyiben az IIT az anyatanszéked, akkor az ott kell adminisztrálni a szakmai gyakorlatodat. Kérjük, hogy kapcsolatba lépj az IIT adminisztrációs csapatával a gyakorlatod adminisztrációjával kapcsolatos információkért."
"Milyen lépéseket kell tennem a szakmai gyakorlatom adminisztrációjához, ha az IIT-hez tartozom?","Ha az IIT-hez tartozol, akkor fel kell venned az autós szakmai gyakorlatot a Neptunban, illetve kapcsolatba kell lépned az IIT adminisztrációs csapatával a további teendőkkel kapcsolatban."
"Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban, ha az IIT-hez tartozom?","Amennyiben az IIT-hez tartozol, a szakmai gyakorlat tárgyat a Neptunban kell felvenned. Kérjük, hogy figyelmesen kövesd az IIT adminisztrációs csapatának utasításait a felvétellel kapcsolatban."
Milyen extra lépéseket kell tennem az IIT-hez tartozó szakmai gyakorlatom adminisztrációjához?,"Az IIT-hez tartozó szakmai gyakorlat adminisztrációjához nincs szükség extra lépésekre. Azonban javasoljuk, hogy kapcsolatba lépj az IIT adminisztrációs csapatával a részletekkel kapcsolatban, hogy biztosan minden teendőt elvégezz a gyakorlatod adminisztrációjával kapcsolatban."
Mikor lehet elkezdeni a szakmai gyakorlatot a vizsgaidőszakban?,"Igen, minden további nélkül el lehet kezdeni a szakmai gyakorlatot a vizsgaidőszakban."
Mikor lehet megkötni a szerződést az egyetem és a cég között?,A szerződés megkötésének lehetősége a héten vagy a jövő hét elején van.
Mikor lesz elérhető újra Dr. Blázovics László?,Dr. Blázovics László várhatóan június 19-én lesz újra elérhető.
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot az ajánlott módon a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot az ajánlottól eltérő módon félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Mikor kell leadni a szakmai gyakorlat dokumentumait?,"A dokumentumokat a tanszéki portálra kell feltölteni, és az aláírás megszerzése érdekében a beszámolót is elkészíteni kell. A leadási határidőről részletes információt a tanszéki portálon találsz."
Milyen okok miatt lehet elfogadni a szakmai gyakorlat dokumentumainak utólagos leadását?,"Előfordulhat, hogy valamilyen különleges ok miatt nem sikerült időben leadni a dokumentumokat. Ebben az esetben érdemes a tanszéki felelős személlyel egyeztetni, és kérni a dokumentumok utólagos elfogadását."
Milyen határidőig lehet utólagosan leadni a szakmai gyakorlat dokumentumait?,A konkrét határidőt a tanszéki felelős személy határozza meg. Érdemes minél hamarabb felvenni vele a kapcsolatot és egyeztetni a lehetőségekről.
Milyen formában kell elkészíteni a szakmai gyakorlat beszámolóját?,A beszámolót megfelelő formában kell elkészíteni és a dokumentumokkal együtt feltölteni a tanszéki portálra. A beszámoló tartalmának részleteiről a tanszéki felelős személy ad tájékoztatást.
Mennyi idő áll rendelkezésre a szakmai gyakorlat beszámolójának elkészítésére?,"Az elkészítési határidőt a tanszéki felelős személy határozza meg. Fontos, hogy időben meglegyen a beszámoló, m"
Mikor kell megkötni a szerződést a szakmai gyakorlathoz?,"A szerződést a szakmai gyakorlat megkezdése előtt kell megkötni, vagy a szakmai gyakorlatnak számított időszak kezdete előtt. Fontos, hogy a szerződés megléte előfeltétele a szakmai gyakorlat elfogadásának."
Hány órában lehet dolgozni a vizsgaidőszakban?,A vizsgaidőszakban lehet heti 40 órában dolgozni.
Meddig lehet végezni a szakmai gyakorlatot a szorgalmi időszak alatt?,A szorgalmi időszak teljes terjedelme alatt lehet szakmai gyakorlatot végezni.
Lehetőségem van-e 40 órában dolgozni június 26-tól?,"Igen, lehetőséged van 40 órában dolgozni június 26-tól."
"Ha nem sikerül teljesítenem a 320 órát a szeptemberi egyetem kezdésig, hány héttel tudok belecsúszni a szorgalmi időszakba, ahol már csak 20 órában dolgozhatok?","Amennyiben nem sikerül teljesítened a 320 órát a szeptemberi egyetem kezdésig, be tudsz csúszni a szorgalmi időszakba, ahol már csak 20 órában dolgozhatsz. A pontos időtartamot a szakmai gyakorlatod megkezdésekor tudod egyeztetni a munkahelyeddel."
Mikor kell felvenni a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, a tárgyat a következő őszi félévben kell felvenni. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért időben gondoskodnod"
"Mikor kezdhetek el a szakmai gyakorlatot, ha előbb végezek a vizsgáimmal, mint a vizsgaidőszak vége?","Amennyiben hamarabb végezel a vizsgáiddal, mint a vizsgaidőszak vége, és van rá lehetőség, akkor elkezdheted a szakmai gyakorlatot. Fontos azonban, hogy egyeztess a gyakorlat helyszínével és a gyakorlatvezetővel a pontos kezdési időpontot illetően."
Mikor lehet elkezdeni a szakmai gyakorlatot a BME VIK-en?,"A szakmai gyakorlatot általában a vizsgaidőszak vége után, a nyári szünetben lehet kezdeni. A pontos időpontot és lehetőségeket érdemes egyeztetni a szakmai gyakorlat koordinátorával vagy a gyakorlat helyszínével."
Mennyi időre kell bejelenteni a szakmai gyakorlat kezdetét?,"A szakmai gyakorlat kezdetét érdemes időben bejelenteni, hogy a szükséges adminisztratív feladatokat el tudják végezni. Általában legalább egy héttel a kezdés előtt érdemes jelezni a gyakorlat helyszínénél vagy a szakmai gyakorlat koordinátoránál."
Milyen dokumentumokra van szükség a szakmai gyakorlat kezdete előtt?,"A szakmai gyakorlat kezdete előtt általában szükséges benyújtani bizonyos dokumentumokat, például a gyakorlati helyszínnel kötött megállapodást és a gyakorlati programot. A pontos dokumentumokról érdemes érdeklődni a szakmai gy"
"Mennyire fontos, hogy új munkaszerződést kössek a szakmai gyakorlat elvégzéséhez?","Amennyiben már rendelkezel munkaszerződéssel, nem szükséges újat kötnöd. Elfogadható a jelenlegi szerződésed is a szakmai gyakorlat elvégzéséhez."
Milyen igazolásra lesz szükségem a szakmai gyakorlat elvégzéséhez?,A szakmai gyakorlat elvégzéséhez a hallgatói munkaszerződés vagy másféle igazolás szükséges.
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, a tárgyat a következő őszi félévben kell felvenned. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat. A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért fontos, hogy időben meglegyen belőle az aláírásod."
Milyen keretmegállapodás van a BME VIK és a Student Iskolaszövetkezet között?,A BME VIK-nek van érvényes keretmegállapodása a Student Iskolaszövetkezettel.
Milyen teendőim vannak a szakmai gyakorlat adminisztratív feladataival kapcsolatban?,A teendőidet a Hiflylabs Zrt.-nél végzett szakmai gyakorlatod adminisztrációja szerint kell elvégezned.
"Ha a Student Iskolaszövetkezet nincs külön felsorolva az iskolaszövetkezetek között, akkor mit kell tennem?","Ha a Student Iskolaszövetkezet nincs külön felsorolva, akkor ki kell írnod magadnak a témát és feltöltened a feladatlapot a szakmai gyakorlatos portálra."
Mikor kell felvennem a szakmai gyakorlat tárgyat a Neptunban?,"Amennyiben a szakmai gyakorlatot a nyári időszakban végzed, akkor a tárgyat a következő őszi félévben kell felvenned. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenned a tárgyat."
Milyen feltételekkel jár a szakmai gyakorlat teljesítése?,"A szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele. Fontos, hogy időben meglegyen a szakmai gyakorlat aláírása a végbizonyítványhoz."
Hol tud bejelentkezni a tanszéki konzulens a szakmai gyakorlat portálra?,"A szakmai gyakorlat portálra csak AUT-os kollégák tudnak bejelentkezni konzulensként. Ha a konzulensed nem AUT-os, akkor jelöld be Dr. Blázovics Lászlót konzulensnek."
Hogyan lehet kiválasztani a tanszéki konzulenst a szakmai gyakorlat portálon?,"A szakmai gyakorlat portálon a tanszéki konzulensek közül lehet választani. Ha nem ismersz senkit az AUT-on, akkor jelöld be Dr. Blázovics Lászlót konzulensnek."
Hogyan lehet megközelíteni a szakmai gyakorlat portált?,A szakmai gyakorlat portál bejelentkezési oldalát az AUT honlapján találod meg. Ott tud bejelentkezni a tanszéki konzulens.
"Mi a teendő, ha nem találom a szakmai gyakorlat portált?","Amennyiben nem találod a szakmai gyakorlat portál bejelentkezési oldalát, segítséget kérhetsz a tanszékedtől vagy Dr. Blázovics Lászlótól."
Milyen információkat kell megadni a szakmai gyakorlat portálon?,"A szakmai gyakorlat portálon általában a neved, a tanszéked, a konzulensed neve és más releváns információkat kell megadni a szakmai gyakorlatra vonatkozóan."
Milyen linkeken találhatóak a szakmai gyakorlatok listái?,Az alábbi linken megtalálható a BME VIK hallgatóknak szóló szakmai gyakorlatok listája: https://vik.bme.hu/hallgatoknak/gyakorlat/
Milyen együttműködési megállapodások vannak jelenleg érvényben a karnak szakmai gyakorlathoz?,A jelenleg érvényes együttműködési megállapodásokról részletes információkat találsz az alábbi linken: https://vik.bme.hu/hallgatoknak/gyakorlat/
Hogyan lehet felvenni a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"A Szakmai gyakorlat tárgyat a Neptun rendszerben a következő őszi félévben kell felvenni, ha a gyakorlatot az ajánlott módon a nyári időszakban végzed. Ha a szakmai gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat. Fontos megjegyezni, hogy a szakmai gyakorlat teljesítése a végbizonyítvány (abszolutórium) kiállításának feltétele, ezért időben meg kell szerezni a szükséges aláírásokat."
Milyen cégekkel van jelenleg együttműködési megállapodása a BME VIK-nak szakmai gyakorlat terén?,Az aktuális együttműködési megállapodásokról részletes információkat találsz a BME VIK honlapján a szakmai gyakorlatokkal kapcsolatos oldalon: https://vik.bme.hu/h
Milyen dokumentumokra van szükség a szakmai gyakorlat cégnél történő lebonyolításához?,"A szakmai gyakorlat cégnél történő lebonyolításához általában szükség van a következő dokumentumokra: diákkártya, diákigazolvány, munkaszerződés vagy gyakornoki szerződés, valamint a gyakorlatot igazoló dokumentumok (pl. igazolás a gyakorlat időtartamáról és teljesítéséről)."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"A Szakmai gyakorlat tárgyat a Neptun rendszerben általában a gyakorlat időszakát követő félévben kell felvenni. Az ajánlott módon a nyári időszakban végzett gyakorlat esetén a következő őszi félévben kell felvenni a tárgyat. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen cégeknél lehet szakmai gyakorlatot végezni a BME VIK-en?,"A BME VIK-en számos cég és intézmény nyújt lehetőséget szakmai gyakorlat elvégzésére. Néhány példa a lehetséges cégekre: Robert Bosch Kft., ProDiák, stb. A konkrét lehetőségekről részletes tájékoztatást kaphatsz a szakmai gyakorlat tájékoztatóban."
Milyen dokumentumokra van szükség a szakmai gyakorlat cégnél történő lebonyolításához?,"A szakmai gyakorlat cégnél történő lebonyolításához általában szükség van a következő dokumentumokra: diákkártya, diákigazolvány, munkaszerződés vagy gyakornoki szerződés, valamint a gyakorlatot igazoló dokumentumok (pl. igazolás a gyakorlat időtartamáról és teljesítéséről)."
Mikor kell felvenni a Szakmai gyakorlat tárgyat a Neptun rendszerben?,"A Szakmai gyakorlat tárgyat a Neptun rendszerben általában a gyakorlat időszakát követő félévben kell felvenni. Az ajánlott módon a nyári időszakban végzett gyakorlat esetén a következő őszi félévben kell felvenni a tárgyat. Ha a gyakorlatot félév közben végzed, akkor ugyanabban a félévben kell felvenni a tárgyat."
Milyen cégeknél lehet szakmai gyakorlatot végezni a BME VIK-en?,"A BME VIK-en számos cég és intézmény nyújt lehetőséget szakmai gyakorlat elvégzésére. Néhány példa a lehetséges cégekre: Robert Bosch Kft., ProDiák, stb. A konkrét lehetőségekről részletes tájékoztatást kaphatsz a szakmai gyakorlat tájékoztatóban."
Melyik tanszéken kell leadni a szakmai gyakorlat jelentkezést?,"A szakmai gyakorlat jelentkezést a BME VIK tanszékén kell leadni, azonban a konkrét tanszéket nem említi az email."
Lehetőség van utólagosan beadni a szakmai gyakorlat dokumentumokat?,"Igen, ha a dokumentumok időben ki lettek állítva, de mégsem kerültek beadásra, akkor van lehetőség utólagosan beadni azokat."
Mikor kell leadni a munkanaplót és a beszámolót?,A munkanaplót és a beszámolót a záróvizsga időszakig kell leadni.
Milyen módon lehet lezárni a szakmai gyakorlatot?,"A szakmai gyakorlatot lehet lezárni az igazolólap, a munkanapló és a beszámoló leadásával."
Milyen lehetőségek vannak a nyári gyakorlatra vonatkozóan?,"Az email nem említi konkrétan a nyári gyakorlatot, így a lehetőségekkel kapcsolatban nincs információ."
Milyen következményei vannak a szakmai gyakorlat hiányának a záróvizsgára nézve?,Az email nem említi a szakmai gyakorlat hiányának a záróvizsgára vonatkozó következményeit.
Mikor van szükség keretmegállapodásra a BME VIK szakmai gyakorlatához?,"A keretmegállapodásra csak akkor van szükség, ha a gyakorlóhely nem költségvetési szerv. Ha a gyakorlóhely költségvetési szerv, akkor nem szükséges a keretmegállapodás."
Milyen hosszú lehet a szakmai gyakorlat az együttműködési megállapodás nélkül?,"Hat hetes vagy annál hosszabb szakmai gyakorlatot nem fogadunk el együttműködési megállapodás nélkül, még akkor sem, ha iskolaszövetkezeten keresztül dolgozol."
